x-spline, y-spline, z-spline, radius
690.000,0.000,0.000,16.626
692.000,0.000,0.000,16.652
694.000,0.000,0.000,16.677
696.000,0.000,0.000,16.702
698.000,0.000,0.000,16.727
700.000,0.000,0.000,16.753
702.000,0.000,0.000,16.778
704.000,0.000,0.000,16.803
706.000,0.000,0.000,16.828
708.000,0.000,0.000,16.854
710.000,0.000,0.000,16.879
712.000,0.000,0.000,16.904
714.000,0.000,0.000,16.929
716.000,0.000,0.000,16.955
718.000,0.000,0.000,16.980
720.000,0.000,0.000,17.005
722.000,0.000,0.000,17.031
724.000,0.000,0.000,17.056
726.000,0.000,0.000,17.081
728.000,0.000,0.000,17.106
730.000,0.000,0.000,17.132
732.000,0.000,0.000,17.157
734.000,0.000,0.000,17.182
736.000,0.000,0.000,17.207
738.000,0.000,0.000,17.233
740.000,0.000,0.000,17.258
742.000,0.000,0.000,17.283
744.000,0.000,0.000,17.308
746.000,0.000,0.000,17.334
748.000,0.000,0.000,17.359
750.000,0.000,0.000,17.384
752.000,0.000,0.000,17.409
754.000,0.000,0.000,17.435
756.000,0.000,0.000,17.460
758.000,0.000,0.000,17.485
760.000,0.000,0.000,17.511
762.000,0.000,0.000,17.536
764.000,0.000,0.000,17.561
766.000,0.000,0.000,17.586
768.000,0.000,0.000,17.612
770.000,0.000,0.000,17.637
772.000,0.000,0.000,17.662
774.000,0.000,0.000,17.687
776.000,0.000,0.000,17.713
778.000,0.000,0.000,17.738
780.000,0.000,0.000,17.763
782.000,0.000,0.000,17.788
784.000,0.000,0.000,17.814
786.000,0.000,0.000,17.839
788.000,0.000,0.000,17.864
790.000,0.000,0.000,17.889
792.000,0.000,0.000,17.915
794.000,0.000,0.000,17.940
796.000,0.000,0.000,17.965
798.000,0.000,0.000,17.991
800.000,0.000,0.000,18.016
802.000,0.000,0.000,18.041
804.000,0.000,0.000,18.066
806.000,0.000,0.000,18.092
808.000,0.000,0.000,18.117
810.000,0.000,0.000,18.142
812.000,0.000,0.000,18.167
814.000,0.000,0.000,18.193
816.000,0.000,0.000,18.218
818.000,0.000,0.000,18.243
820.000,0.000,0.000,18.268
822.000,0.000,0.000,18.294
824.000,0.000,0.000,18.319
826.000,0.000,0.000,18.344
828.000,0.000,0.000,18.369
830.000,0.000,0.000,18.395
832.000,0.000,0.000,18.420
834.000,0.000,0.000,18.445
836.000,0.000,0.000,18.471
838.000,0.000,0.000,18.496
840.000,0.000,0.000,18.521
842.000,0.000,0.000,18.546
844.000,0.000,0.000,18.572
846.000,0.000,0.000,18.597
848.000,0.000,0.000,18.622
850.000,0.000,0.000,18.647
852.000,0.000,0.000,18.673
854.000,0.000,0.000,18.698
856.000,0.000,0.000,18.723
858.000,0.000,0.000,18.748
860.000,0.000,0.000,18.774
862.000,0.000,0.000,18.799
864.000,0.000,0.000,18.824
866.000,0.000,0.000,18.849
868.000,0.000,0.000,18.875
870.000,0.000,0.000,18.900
872.000,0.000,0.000,18.925
874.000,0.000,0.000,18.951
876.000,0.000,0.000,18.976
878.000,0.000,0.000,19.001
880.000,0.000,0.000,19.026
882.000,0.000,0.000,19.052
884.000,0.000,0.000,19.077
886.000,0.000,0.000,19.102
888.000,0.000,0.000,19.127
890.000,0.000,0.000,19.153
892.000,0.000,0.000,19.178
894.000,0.000,0.000,19.203
896.000,0.000,0.000,19.228
898.000,0.000,0.000,19.254
900.000,0.000,0.000,19.279
902.000,0.000,0.000,19.304
904.000,0.000,0.000,19.329
906.000,0.000,0.000,19.355
908.000,0.000,0.000,19.380
910.000,0.000,0.000,19.405
912.000,0.000,0.000,19.431
914.000,0.000,0.000,19.456
916.000,0.000,0.000,19.481
918.000,0.000,0.000,19.506
