x-spline, y-spline, z-spline, radius
419.445,115.566,0.000,65.260
420.678,117.209,0.000,65.523
421.912,118.852,0.000,65.792
423.146,120.496,0.000,66.066
424.379,122.141,0.000,66.345
425.613,123.789,0.000,66.630
426.847,125.441,0.000,66.920
428.080,127.099,0.000,67.215
429.314,128.763,0.000,67.515
430.547,130.436,0.000,67.821
431.781,132.117,0.000,68.131
433.015,133.810,0.000,68.447
434.248,135.514,0.000,68.768
435.482,137.230,0.000,69.096
436.716,138.961,0.000,69.431
437.949,140.706,0.000,69.775
439.183,142.468,0.000,70.128
440.417,144.247,0.000,70.491
441.650,146.043,0.000,70.866
442.884,147.859,0.000,71.253
444.118,149.696,0.000,71.654
445.351,151.553,0.000,72.069
446.585,153.433,0.000,72.499
447.819,155.337,0.000,72.946
449.052,157.265,0.000,73.410
450.286,159.219,0.000,73.890
451.520,161.199,0.000,74.386
452.753,163.207,0.000,74.896
453.987,165.244,0.000,75.420
455.221,167.311,0.000,75.955
456.454,169.409,0.000,76.502
457.688,171.539,0.000,77.058
458.922,173.703,0.000,77.623
460.155,175.900,0.000,78.196
461.389,178.133,0.000,78.775
462.623,180.402,0.000,79.360
463.856,182.707,0.000,79.948
465.090,185.043,0.000,80.539
466.324,187.401,0.000,81.130
467.557,189.774,0.000,81.718
468.791,192.155,0.000,82.302
470.025,194.535,0.000,82.878
471.258,196.906,0.000,83.445
472.492,199.261,0.000,84.000
473.726,201.593,0.000,84.542
474.959,203.893,0.000,85.067
476.193,206.154,0.000,85.573
477.427,208.369,0.000,86.058
478.660,210.530,0.000,86.521
479.894,212.640,0.000,86.958
481.128,214.704,0.000,87.367
482.361,216.725,0.000,87.746
483.595,218.708,0.000,88.092
484.829,220.656,0.000,88.404
486.062,222.575,0.000,88.679
487.296,224.467,0.000,88.915
488.530,226.337,0.000,89.109
489.763,228.190,0.000,89.259
490.997,230.029,0.000,89.363
492.231,231.859,0.000,89.418
